127.0.0.1, 2013-05-25 15:12:56, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000846
127.0.0.1, 2013-05-25 15:12:56, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001385
127.0.0.1, 2013-05-25 15:12:56, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000686
127.0.0.1, 2013-05-25 15:12:58, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 304, 0.000444
127.0.0.1, 2013-05-25 15:13:12, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 303, 0.079613
127.0.0.1, 2013-05-25 15:13:12, GET, /admin/default/index, HTTP/1.1, 200, 0.034156
127.0.0.1, 2013-05-25 15:13:13, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000854
127.0.0.1, 2013-05-25 15:13:13, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000869
127.0.0.1, 2013-05-25 15:13:13, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.001160
127.0.0.1, 2013-05-25 15:13:13, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000889
127.0.0.1, 2013-05-25 15:13:13, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000596
127.0.0.1, 2013-05-25 15:13:13, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001848
127.0.0.1, 2013-05-25 15:13:13, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001658
127.0.0.1, 2013-05-25 15:13:13, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001515
127.0.0.1, 2013-05-25 15:13:13, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001126
127.0.0.1, 2013-05-25 15:13:13, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000930
127.0.0.1, 2013-05-25 15:13:13, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001604
127.0.0.1, 2013-05-25 15:13:13, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000560
127.0.0.1, 2013-05-25 15:13:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000268
127.0.0.1, 2013-05-25 15:13:16, POST, /admin/default/index, HTTP/1.1, 303, 0.066665
127.0.0.1, 2013-05-25 15:13:16, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.036372
127.0.0.1, 2013-05-25 15:13:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000323
127.0.0.1, 2013-05-25 15:13:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000259
127.0.0.1, 2013-05-25 15:13:30, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.100279
127.0.0.1, 2013-05-25 15:13:30, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000501
127.0.0.1, 2013-05-25 15:13:30, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000560
127.0.0.1, 2013-05-25 15:13:30, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000862
127.0.0.1, 2013-05-25 15:13:30, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.001130
127.0.0.1, 2013-05-25 15:13:30, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001053
127.0.0.1, 2013-05-25 15:13:30, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000590
127.0.0.1, 2013-05-25 15:13:30, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001009
127.0.0.1, 2013-05-25 15:13:30, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000390
127.0.0.1, 2013-05-25 15:13:30, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001408
